2019/08/11 13:44:37 [error] 24618#24618: *5330 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.0.6.179, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:46:15 [error] 24618#24618: *5384 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.58.214.78, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:51:21 [error] 24618#24618: *5486 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.213.181.246, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:51:33 [error] 24618#24618: *5479 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.213.201.248, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:58:12 [error] 24618#24618: *5613 readv() failed (104: Connection reset by peer) while reading upstream, client: 188.133.19.122, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:03:53 [error] 24618#24618: *5768 readv() failed (104: Connection reset by peer) while reading upstream, client: 188.247.9.50, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:18:06 [error] 24618#24618: *6039 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.40.154.2, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:22:38 [error] 24618#24618: *6139 readv() failed (104: Connection reset by peer) while reading upstream, client: 200.68.137.237, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:26:43 [error] 24618#24618: *6263 readv() failed (104: Connection reset by peer) while reading upstream, client: 178.52.185.112, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:27:44 [error] 24618#24618: *6274 readv() failed (104: Connection reset by peer) while reading upstream, client: 41.95.23.33, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:32:55 [error] 24618#24618: *6385 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.58.17, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:35:26 [error] 24618#24618: *6430 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.155.0.67, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:41:45 [error] 24618#24618: *6571 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.57.218.111, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:46:25 [error] 24618#24618: *6659 readv() failed (104: Connection reset by peer) while reading upstream, client: 188.133.26.251, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 14:51:23 [error] 24618#24618: *6775 readv() failed (104: Connection reset by peer) while reading upstream, client: 154.98.217.161, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
